ID1,ID2,ID3,Kt,theta0
349,286,263,37.5000,1.9321
349,286,283,37.5000,1.9321
350,326,244,35.0000,1.9111
350,326,314,35.0000,1.9111
351,268,225,80.0000,1.9146
351,268,239,35.0000,1.9111
351,268,261,63.0000,1.9216
352,307,250,37.5000,1.9321
352,307,274,37.5000,1.9321
352,307,347,33.0000,1.8815
353,374,342,35.0000,2.0944
354,328,270,35.0000,1.9111
354,328,317,63.0000,1.9216
355,291,218,50.0000,2.0595
355,291,305,50.0000,2.1276
355,313,230,58.3500,1.9670
355,313,333,37.5000,1.9321
355,313,339,37.5000,1.9321
355,376,327,70.0000,2.0351
356,363,335,33.0000,1.8815
356,363,337,37.5000,1.9321
357,315,266,33.0000,1.8815
357,315,292,33.0000,1.8815
358,302,220,58.3500,1.9670
358,302,306,37.5000,1.9321
358,302,338,37.5000,1.9321
358,315,266,37.5000,1.9321
358,315,292,37.5000,1.9321
358,315,357,37.5000,1.9321
359,381,326,37.5000,1.9321
360,317,261,35.0000,2.0909
360,317,328,38.0000,2.0665
361,284,228,70.0000,2.0944
361,284,271,70.0000,2.0944
362,386,328,37.5000,1.9321
363,337,253,80.0000,1.9146
363,337,345,37.5000,1.9321
364,370,316,80.0000,2.1450
366,281,227,58.3500,1.9670
366,281,256,58.3500,1.9670
366,281,285,37.5000,1.9321
367,366,281,37.5000,1.9321
368,351,268,38.0000,2.0665
369,361,284,35.0000,2.0944
370,316,252,50.0000,2.1276
370,316,329,35.0000,2.0909
371,393,365,35.0000,2.0944
372,378,290,37.5000,1.9321
373,305,243,80.0000,2.1014
373,305,291,80.0000,2.1450
375,383,337,80.0000,2.1014
376,327,276,35.0000,2.0909
376,327,343,50.0000,2.1276
376,355,291,63.0000,1.9216
376,355,313,63.0000,1.9391
377,358,302,37.5000,1.9321
377,358,315,37.5000,1.9321
378,290,246,80.0000,1.9146
378,290,264,37.5000,1.9321
378,290,293,63.0000,1.9391
379,295,258,35.0000,1.9111
379,295,259,63.0000,1.9391
379,295,310,63.0000,1.9216
379,387,340,50.0000,2.1276
380,381,326,37.5000,1.9321
380,381,359,33.0000,1.8815
381,326,244,63.0000,1.9391
381,326,314,80.0000,1.9146
381,326,350,37.5000,1.9321
382,340,280,37.5000,1.9321
382,340,324,37.5000,1.9321
383,337,253,63.0000,1.9216
383,337,345,35.0000,1.9111
383,337,363,63.0000,1.9391
384,341,267,35.0000,2.0909
384,341,348,38.0000,2.0665
385,392,351,80.0000,2.1450
386,328,270,37.5000,1.9321
386,328,317,80.0000,1.9146
386,328,354,63.0000,1.9391
386,410,371,70.0000,2.0944
387,340,280,35.0000,1.9111
387,340,324,35.0000,1.9111
387,340,382,80.0000,1.9146
387,379,295,70.0000,2.0351
389,366,281,37.5000,1.9321
389,366,367,33.0000,1.8815
391,343,298,37.5000,1.9321
